,id,title,release_date,popularity,vote_average,vote_count
0,278,The Shawshank Redemption,1994-09-23,62.636,8.7,21456
1,19404,Dilwale Dulhania Le Jayenge,1995-10-20,19.097,8.7,3652
2,238,The Godfather,1972-03-14,57.656,8.7,15990
3,424,Schindler's List,1993-11-30,41.077,8.6,12778
4,240,The Godfather: Part II,1974-12-20,46.655,8.6,9640
5,667257,Impossible Things,2021-06-17,21.407,8.6,237
6,372754,Dou kyu sei – Classmates,2016-02-20,8.612,8.6,230
7,129,Spirited Away,2001-07-20,69.9,8.5,12848
8,372058,Your Name.,2016-08-26,191.184,8.5,8708
9,696374,Gabriel's Inferno,2020-05-29,9.55,8.5,2245
10,724089,Gabriel's Inferno: Part II,2020-07-31,12.001,8.5,1411
11,545611,Everything Everywhere All at Once,2022-03-24,210.548,8.5,353
12,496243,Parasite,2019-05-30,56.295,8.5,13720
13,389,12 Angry Men,1957-04-10,20.176,8.5,6428
14,497,The Green Mile,1999-12-10,58.149,8.5,13946
15,155,The Dark Knight,2008-07-14,71.319,8.5,27577
16,761053,Gabriel's Inferno: Part III,2020-11-19,23.424,8.5,963
17,533514,Violet Evergarden: The Movie,2020-09-18,19.021,8.5,228
18,680,Pulp Fiction,1994-09-10,41.033,8.5,23168
19,122,The Lord of the Rings: The Return of the King,2003-12-01,88.085,8.5,19547
20,429,The Good  the Bad and the Ugly,1966-12-23,29.691,8.5,6637
21,730154,Your Eyes Tell,2020-10-23,54.769,8.5,312
22,13,Forrest Gump,1994-06-23,44.582,8.5,22730
23,11216,Cinema Paradiso,1988-11-17,15.34,8.5,3343
24,346,Seven Samurai,1954-04-26,17.601,8.5,2673
25,652837,Josee  the Tiger and the Fish,2020-12-25,18.676,8.5,230
26,769,GoodFellas,1990-09-12,30.14,8.5,10102
27,637,Life Is Beautiful,1997-12-20,32.436,8.5,11057
28,40096,A Dog's Will,2000-09-15,7.756,8.4,883
29,311,Once Upon a Time in America,1984-05-23,24.422,8.4,4174
30,14537,Harakiri,1962-09-15,10.737,8.4,630
31,539,Psycho,1960-06-22,32.304,8.4,8179
32,12477,Grave of the Fireflies,1988-04-16,0.6,8.4,4129
33,510,One Flew Over the Cuckoo's Nest,1975-11-18,22.765,8.4,8590
34,550,Fight Club,1999-10-15,53.199,8.4,24107
35,378064,A Silent Voice: The Movie,2016-09-17,109.076,8.4,2944
36,324857,Spider-Man: Into the Spider-Verse,2018-12-06,89.607,8.4,11310
37,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,184.706,8.4,502
38,598,City of God,2002-02-05,37.724,8.4,5787
39,255709,Hope,2013-10-02,12.492,8.4,383
40,4935,Howl's Moving Castle,2004-11-19,69.161,8.4,7309
41,92321,Hotarubi no Mori e,2011-09-17,0.6,8.4,779
42,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,26.806,8.4,1061
43,1891,The Empire Strikes Back,1980-05-20,23.839,8.4,14176
44,599,Sunset Boulevard,1950-08-10,13.739,8.4,1949
45,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,98.114,8.4,20957
46,441130,Wolfwalkers,2020-10-26,15.246,8.4,769
47,704264,Primal: Tales of Savagery,2019-11-21,26.991,8.4,222
48,423,The Pianist,2002-09-17,28.163,8.4,7255
49,244786,Whiplash,2014-10-10,45.086,8.4,12181
50,73,American History X,1998-07-01,27.789,8.4,9572
51,157336,Interstellar,2014-11-05,115.299,8.4,28515
52,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,933.858,8.4,2428
53,567,Rear Window,1954-08-01,15.073,8.4,5141
54,121,The Lord of the Rings: The Two Towers,2002-12-18,103.527,8.4,18142
55,12493,High and Low,1963-03-01,7.343,8.4,585
56,901,City Lights,1931-02-01,12.077,8.4,1626
57,3782,Ikiru,1952-10-09,7.212,8.4,787
58,914,The Great Dictator,1940-10-15,17.982,8.4,2609
59,644479,Dedicated to my ex,2019-11-01,15.672,8.4,471
60,27205,Inception,2010-07-15,104.752,8.4,31575
61,632632,Given,2020-08-22,221.521,8.4,318
62,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,127.066,8.4,374
63,807,Se7en,1995-09-22,36.977,8.3,17085
64,128,Princess Mononoke,1997-07-12,29.567,8.3,6278
65,25237,Come and See,1985-07-09,11.261,8.3,931
66,274,The Silence of the Lambs,1991-02-01,10.517,8.3,13284
67,3082,Modern Times,1936-02-11,13.613,8.3,2948
68,592350,My Hero Academia: Heroes Rising,2019-12-20,319.541,8.3,918
69,207,Dead Poets Society,1989-06-02,28.268,8.3,9116
70,101,Léon: The Professional,1994-09-14,36.418,8.3,12089
71,527641,Five Feet Apart,2019-03-14,101.968,8.3,4754
72,556574,Hamilton,2020-07-03,9.587,8.3,959
73,618344,Justice League Dark: Apokolips War,2020-05-05,34.19,8.3,1161
74,575813,Better Days,2019-10-25,17.828,8.3,237
75,630566,Clouds,2020-10-09,28.262,8.3,833
76,975,Paths of Glory,1957-10-25,10.343,8.3,2192
77,335,Once Upon a Time in the West,1968-12-21,17.222,8.3,3384
78,18148,Tokyo Story,1953-11-03,8.418,8.3,752
79,105,Back to the Future,1985-07-03,49.034,8.3,16546
