budget,id,original_language,original_title,revenue,runtime,title,release_date,popularity,vote_average,vote_count
200000000,338953,en,Fantastic Beasts: The Secrets of Dumbledore,400000000,142,Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,2051.16,6.7,1092
110000000,675353,en,Sonic the Hedgehog 2,393000000,122,Sonic the Hedgehog 2,2022-03-30,7088.307,7.8,1622
74000000,752623,en,The Lost City,164289828,112,The Lost City,2022-03-24,11288.261,6.7,768
75000000,526896,en,Morbius,161000000,105,Morbius,2022-03-30,11236.546,6.3,1125
200000000,453395,en,Doctor Strange in the Multiverse of Madness,930000000,126,Doctor Strange in the Multiverse of Madness,2022-05-04,3108.869,7.4,1852
70000000,639933,en,The Northman,68350700,137,The Northman,2022-04-07,7895.411,7.5,1095
200000000,634649,en,Spider-Man: No Way Home,1892000000,148,Spider-Man: No Way Home,2021-12-15,4816.033,8.1,13011
190000000,508947,en,Turning Red,18879922,100,Turning Red,2022-03-10,3000.916,7.5,2225
120000000,335787,en,Uncharted,400780000,116,Uncharted,2022-02-10,6178.481,7.2,2098
185000000,414906,en,The Batman,768442517,177,The Batman,2022-03-01,6372.913,7.8,4767
80000000,629542,en,The Bad Guys,229000000,100,The Bad Guys,2022-03-17,2651.704,7.8,494
0,628900,en,The Contractor,2122288,103,The Contractor,2022-03-10,4386.168,6.6,249
146000000,406759,en,Moonfall,58000000,130,Moonfall,2022-02-03,2823.628,6.5,1095
50000000,568124,en,Encanto,253000000,102,Encanto,2021-11-24,1168.402,7.7,6502
15800000,635302,ja,劇場版「鬼滅の刃」無限列車編,503063688,117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,933.858,8.4,2428
0,420821,en,Chip 'n Dale: Rescue Rangers,0,99,Chip 'n Dale: Rescue Rangers,2022-05-20,337.602,7.4,232
40000000,763285,en,Ambulance,50254920,136,Ambulance,2022-03-16,3529.926,7.0,654
165000000,284052,en,Doctor Strange,677700000,115,Doctor Strange,2016-10-25,1552.696,7.4,19031
165000000,284052,en,Doctor Strange,677700000,115,Doctor Strange,2007-08-14,199.799,6.9,265
0,585083,en,Hotel Transylvania: Transformania,0,87,Hotel Transylvania: Transformania,2022-02-25,1127.646,7.1,896
0,843241,ja,劇場版 七つの大罪 光に呪われし者たち,0,79,The Seven Deadly Sins: Cursed by Light,2021-07-02,634.049,7.9,341
43000000,823625,en,Blacklight,15400000,104,Blacklight,2022-02-10,1108.103,6.2,392
0,799876,en,The Outfit,3186865,105,The Outfit,2022-02-25,2638.232,7.0,231
0,810171,en,The Valet,0,124,The Valet,2006-03-29,25.812,5.9,437
110000000,580489,en,Venom: Let There Be Carnage,500000000,97,Venom: Let There Be Carnage,2021-09-30,785.613,7.0,7347
0,774825,en,The Ice Age Adventures of Buck Wild,0,82,The Ice Age Adventures of Buck Wild,2022-01-28,1187.307,6.8,1151
150000000,135397,en,Jurassic World,1671713208,124,Jurassic World,2015-06-06,248.001,6.7,17972
5000000,303857,ja,ドラゴンボールZ 復活の「F」,61768190,93,Dragon Ball Z: Resurrection 'F',2015-04-18,244.374,6.8,1388
85000000,438695,en,Sing 2,406000000,110,Sing 2,2021-12-01,735.083,8.1,2755
170000000,351286,en,Jurassic World: Fallen Kingdom,1303459585,129,Jurassic World: Fallen Kingdom,2018-06-06,201.042,6.6,9798
0,833425,en,No Exit,0,96,No Exit,2022-02-25,757.952,6.7,474
150000000,566525,en,Shang-Chi and the Legend of the Ten Rings,432243292,132,Shang-Chi and the Legend of the Ten Rings,2021-09-01,645.866,7.7,6499
200000000,524434,en,Eternals,402064899,156,Eternals,2021-11-03,626.208,7.1,5592
